acacia angustissima,prarie acacia,10 seeds,2019,seedman.com,glass jar
acacia decurrens,wattle bark,10 seeds,2019,seedman.com,glass jar
achillea millefolium,yarrow,1tsp,2019, County soil&water conservation district,glass jar
anthemis sancti-johannis,saint john’s chamomile,50 seeds,2019,strictly medicinal seeds,chamomile set packet in jar
anthemis tinctoria,dyer’s chamomile,100 seeds,2019,strictly medicinal seeds,chamomile set packet in jar
asclepias speciosa,showy milkweed,1tsp,2018, County soil&water conservation district,glass jar
asclepias speciosa,showy milkweed,1tsp,2019, County soil&water conservation district,glass jar
chamaemelum nobile,roman chamomile,300 seeds,2019,strictly medicinal seeds,chamomile set packet in jar
dioscorea japonica,japanese wild yam,2 tubers,2019,strictly medicinal seeds,glass jar
ensete glaucum,giant nepal banana,4 seeds,2019,seedman.com,glass jar
eucalyptus citrodora,citrodora eucalyptus,250mg,2019,seedman.com,glass jar
eucalyptus dalrymleana,mountain gum,12mg,2019,seedman.com,glass jar
eucalyptus globulus,tasmanian blue gum,350mg,2019,seedman.com,glass jar
eucalyptus pulverulenta,silver leaf mountain gum,16mg,2019,seedman.com,glass jar
koeleria macrantha,prarie junegrass,1oz,2018, County soil&water conservation district,glass jar
ligusticum apiifolium,Celery-leaf lovage,1TBS,2017, County soil&water conservation district,glass jar
matricaria recutita,german chamomile,500 seeds,2019,strictly medicinal seeds,chamomile set packet in jar
moringa oliefera,moringa tree,4 seeds,2019,seedman.com,glass jar
musa thomsonii,thomson’s edible banana,5 seeds,2019,seedman.com,glass jar
nicotiana quadrivalvis,indian tobacco,~500 seeds,2019,"tribal native plant materials program, grand ronde",glass jar
phoenix canariensis,canary island date palm,8 seeds,2019,seedman.com,glass jar
sambucus nigra var canadensis,american black elderberry,50 seeds,2019,strictly medicinal seeds,glass jar
sambucus nigra var canadensis,european black elderberry,50 seeds,2019,strictly medicinal seeds,glass jar
taxodium disctichum,southern bald cypress,17 seeds,2019,seedman.com,glass jar
taxus baccata,english yew,8 seeds,2019,seedman.com,glass jar
